element;Tc
Lu0.8Zr0.2B12;0.55
Ir0.8Rh0.2Te2;2.525
Ba1Pd2As2;3.85
Sr1Pd2As2;0.92
Ca1Pd2As2;1.27
Rb1Eu1Fe4As4;36.8
Re3Ta1;4.65
Cr0.8Ru0.2;1.35
Eu1Rb1Fe4As4;36.5
Yb1;1.04
Ta1Rh2B2;5.8
Nb1Rh2B2;7.6
Sr2.5Sn1O1;4.7
Sr2.5Sn1O1;5.4
Pd0.01Ta1S2;3.02
Pd0.02Ta1S2;3.95
Pd0.03Ta1S2;4.12
Pd0.05Ta1S2;3.89
Pd0.06Ta1S2;3.73
Pd0.08Ta1S2;3
Y1Co2Ge2;0.4
Y1Pd2Ge2;1.1
Y1Pt2Ge2;1.6
K2Mo3As3;10.25
La0.59Rh4P12;4.58
La0.69Rh4P12;8.07
La0.75Rh4P12;8.71
La0.81Rh4P12;9.81
La0.99Rh4P12;16.41
Na1Sn2As2;1.54
K2Cr3As3;6.1
Tl0.7Gd0.3Sr2Ca0.8Cr0.2Cu2O7;61
Tl0.7Er0.3Sr2Ca0.8Cr0.2Cu2O7;50
Tl0.7La0.3Sr2Ca0.8Cr0.2Cu2O7;50
Tl0.7Li0.3Sr2Ca0.8Cr0.2Cu2O7;92
Tl0.7Na0.3Sr2Ca0.8Cr0.2Cu2O7;93
Tl0.7K0.3Sr2Ca0.8Cr0.2Cu2O7;86
Tl0.7Rb0.3Sr2Ca0.8Cr0.2Cu2O7;84
Tl1Sr2Ca0.8Cr0.2Cu2O7;102
La3Co4Sn13;2.7
La3Co4Sn13;2.87
Nd1Pd0.77Bi2;3.2
La0.4Na0.6Rb1Fe4As4;25.5
La0.4Cs0.6Rb1Fe4As4;24
La1Pt2Si2;1.22
Ni3Th7;1.94
Eu1Rb1Fe4As4;36.78
Eu0.75Ca0.25Rb1Fe4As4;36.54
Eu0.5Ca0.5Rb1Fe4As4;36.49
Eu0.25Ca0.75Rb1Fe4As4;36
Ca1Rb1Fe4As4;36.26
Lu0.8Nd0.2Ba2Cu4O8;75
Rb1Ca2Fe4As4F2;30
Li0.69Fe1.31S1H1O1;2.71
Li0.48Fe1.52S1H1O1;2.51
Li0.29Fe1.71S1H1O1;2.18
Bi0.9Pb0.1Pd1;3.2
Bi0.8Pb0.2Pd1;2.6
Bi2Pd1;5.3
Bi1.8Pb0.2Pd1;4.4
Bi1.6Pb0.4Pd1;3.1
Bi1.5Pb0.5Pd1;2.5
La1Pt1Ge1;3.05
Ru0.75Rh0.25As1;1.6
Ru0.55Rh0.45P1;3.7
Ba1Ti2Bi2O1;4.6
Ba1Fe1.9Pt0.1As2;23
Cu1.5Pb5Bi6Se23;2.7
Cu1.5Pb5Bi6Se23;2.7
Ba1Bi3;5.975
Bi3Sr1;5.55
K1Ca2Fe4As4F2;33.2
K1Ca2Fe4As4F2;23.3
Ta1Ir1Te4;1.752
Ta1Ir1Te4;0.54
Li1M1Fe2Se2;44.36
Li1M1Fe2Se0.4Te0.6;20.28
Hf1As1.67Te0.12;1.7
Nd1Fe1As1F0.3O0.7;46.4
Nd1Fe1As1F0.3O0.7;11.5
Nd1Fe1As1F0.3O0.7;41.4
Nb1Os2;2.7
Nb1Os2;2.7
Ca1Rh2;5.16
Zr4Rh2O0.7;2.8
Zr4Rh2O1;4.7
Ta1B1;4
Ta0.9Zr0.1B1;4.62
Ta0.85Zr0.15B1;6.01
Ta0.8Zr0.2B1;7.51
Ta0.75Zr0.25B1;6
Ta0.7Zr0.3B1;5
Ti4O7;2.315
Te2U1;1.65
Te2U1;1.1
Te2U1;1.4
Te2U1;1.5
Te2U1;1.5
Bi1Te1Cl1;3.6
Bi1Te1Cl1;4.12
Bi1Te1I1;5.39
Lu1Pd2Si2;0.6
Lu1Pt2Si2;1.8
